pc_ts,ipoc,robot_x_mm,robot_y_mm,robot_z_mm,robot_a_deg,robot_b_deg,robot_c_deg,cam_ts,rvec_x,rvec_y,rvec_z,tvec_x_m,tvec_y_m,tvec_z_m
1771538796.6147528,5500768,800.2,82.6,448.6,10.2,73.4,6.1,1771538796.582336,0.1605671088769688,-2.6047067278767786,0.37025028336470844,0.649297097886154,-0.09939436750112839,1.997449287294689
1771538799.217872,5503372,788.5,104.4,449.4,10.1,72.6,6.1,1771538799.1859577,0.07312381938903141,3.0939271095227956,-0.1323502583210721,-0.6691436222813731,-0.09391529259659756,2.0506701739153534
1771538801.822207,5505976,780.0,120.0,450.0,10.0,72.0,6.0,1771538801.790706,-0.04885725139508628,3.000945556096794,0.38905512389630986,0.5988911981169743,-0.08994957696079893,1.9776866598982379
1771538804.4262452,5508580,780.0,119.7,450.0,10.0,72.0,6.0,1771538804.3940094,0.01346572300314771,3.06345947022689,-0.2626235879338079,-0.6781916010350164,-0.08941770423197705,2.0214731232442107
1771538807.0297651,5511184,780.0,95.8,450.0,12.6,75.5,9.4,1771538806.9659142,0.16336853555188305,-2.5364009695671403,0.380230551275762,0.5971127438579011,-0.05800584036191887,1.912732594739657
1771538809.6341298,5513788,780.0,71.0,450.0,16.9,79.0,14.5,1771538809.6028392,0.054315470256232685,2.7438899866426207,-0.24514756643604566,-0.6065868853128936,-0.021684834212950418,1.9470796495621696
1771538812.2381616,5516392,780.0,46.3,450.0,25.1,82.4,23.5,1771538812.2067716,0.11168442305662327,2.688434436187655,-0.4083436697019009,-0.5526048020153022,0.010975190666195293,1.8552069710916488
1771538866.2787464,5570436,823.7,40.1,451.9,-27.8,84.2,-26.6,1771538866.2630694,-0.0058790922753283,-2.46511483837995,0.5782317022586911,0.6916467043402894,-0.015764500662563144,1.9060662860991657
1771538868.8827727,5573040,799.9,40.1,458.7,-14.1,78.3,-8.5,1771538868.8668733,0.2895965641975351,3.0366919121584024,0.10267325933719781,-0.5592392007204748,-0.03817738940450252,1.9838022042637868
1771538871.4865115,5575644,776.1,40.1,465.5,-9.6,72.2,0.4,1771538871.4708517,-0.37443726627986035,-2.9974787632216864,-0.18177715318403853,-0.5578423663994636,-0.0594464878488216,1.9144173920988348
1771538874.0907378,5578248,760.0,40.0,470.0,-8.0,68.0,5.0,1771538874.0750043,0.3976666427574076,2.9311528006566006,0.3357073101929323,-0.6004183178747263,-0.07751098088309567,2.004830516601058
1771538876.6949854,5580852,760.0,40.0,470.0,-8.0,68.0,5.0,1771538876.6792195,-0.28443911738590655,-2.536343396210096,0.36315872899224083,0.6810438968672478,-0.08035983614702967,2.0075806836530936
1771538879.2992144,5583456,781.4,39.9,467.6,-8.0,73.2,1.9,1771538879.2835917,0.36891769601257524,3.003830764915004,0.12999306140413022,0.6621241156871708,-0.05973040577691462,1.9229123559995418
1771538881.9026995,5586060,806.0,39.9,464.9,-8.0,79.2,-1.6,1771538881.886801,0.3317874511919842,2.8590299343383188,-0.3714285584180363,-0.5731286110334677,-0.036183457007973,1.9833176259164842
1771538884.5078063,5588664,830.5,39.9,462.1,-8.0,85.2,-5.2,1771538884.4921522,0.2717378088852554,2.8570586222751366,-0.395136915558711,-0.5696130133686412,-0.011253263910810727,1.9965672697993628
